year,CN_homicide,US_homicide,CN_violent,US_violent,CN_property,US_property
1985,,,,558.0,,4666.0
1986,,,,620.0,,4881.0
1987,,,,612.0,,4963.0
1988,,,,640.0,,5054.0
1989,,,,666.0,,5107.0
1990,,9.2963554157789,,729.0,,5073.0
1991,,9.70498194560243,,758.0,,5140.0
1992,,9.24547406028161,,757.0,,4903.0
1993,,9.45008234625902,,747.0,,4740.0
1994,,8.89486459191211,,713.0,,4660.0
1995,2.20449248281803,8.14817286802421,,684.0,,4590.0
1996,2.03022255561552,7.32107232165547,,636.0,,4451.0
1997,2.065775141032,6.70117275013149,,611.0,,4316.0
1998,,6.16843133989176,,567.0,,4052.0
1999,,5.57246569810258,,523.0,,3743.0
2000,,5.53262199845051,,506.0,,3618.0
2001,,6.68744397030144,,504.0,,3658.0
2002,2.00986382051266,5.64920595465642,44.27678850359263,494.0,238.9089347079038,3630.0
2003,1.85455292957088,,42.980751319466,475.0,243.60237503880782,3591.0
2004,1.8676809685189,,42.803078525548294,463.0,264.0229924965762,3514.0
2005,1.56074306037803,,41.774000552265825,469.0,258.07911207928083,3431.0
2006,1.34286341324616,5.81309090137021,39.94546231178777,479.0,256.30951472898965,3346.0
2007,1.19755372649013,5.69777776521067,38.708688542627016,471.0,266.4291649119612,3276.0
2008,1.09421793405094,5.42529105343771,36.56997482363332,458.0,277.487421253081,3214.0
2009,1.07752935764256,5.02729992972913,38.350810510343585,431.0,321.19773748178415,3041.0
2010,0.979682650091451,4.76422446313797,35.09264000657843,404.0,350.48003857352705,2945.0
2011,0.87286746536672,4.705311440989,31.750697937228402,387.0,352.8780291962663,2905.0
2012,0.8153408288513,4.73054904412484,30.086767735694398,387.0,357.7239530641933,2868.0
2013,0.764431883940905,4.52559279616145,,369.0,,2733.0
2014,0.720495296377616,4.44467565293224,22.734025337862466,361.0,380.8167014126806,2574.0
2015,0.653944197468834,4.94985151879009,,373.0,,2500.0
2016,0.610586892294982,5.39075477105171,16.484338408548844,397.0,381.0264521289244,2451.0
2017,0.562271460841508,5.31984338681299,13.799880390914007,394.0,314.5696758737014,2362.0
2018,0.527090789337537,5.00586581143545,11.800521828395448,383.0,281.4613333713536,2209.0
2019,,5.06556583180212,10.521010552337248,380.0,262.6844350361749,2130.0
2020,,6.51656420137329,9.548295655871307,398.0,253.66331230954574,1958.0
